Review ID,text,Body,sentiment,Product id
16,The scent is too weak for the price.,It does not smell like anything unless I lift the reed or scent bottle directly to my nose then I can smell �??salt & sea�?� which really smells like a teenage boys knock off axe body spray. I have the diffuser in a small room nothing blocking its way. I�??m not sure if I got a bad batch but I am not impressed and will continue to look elsewhere.,1,B09VTNCFKL
17,Smells great!,"This smells awesome!  I. Love it! It arrived quickly, but without sticks.",4,B0C46VVFVZ
18,Smells amazing,"Bought the apple scent and accidentally spilled it. Immediately bought a second one because this is one of the best scents I've ever smelled and it fills the entire living room. I now have one that's half full after the spill and the second one in two different rooms. My daughter's playroom often smells like cheese and diapers, and this actually makes the whole room smell amazing.",5,B0CC3XGKMC
19,"Nice fresh scent, lasts a LONG time","I originally bought this in September and the oil didn't run out until February. I think the scent is really nice - it's noticeable but not overpowering. I use it in a small bathroom, so not sure how it would be in a large room, but it's great for my space.",5,B09VTNCFKL
20,"It Smells So Good, But Isn't Strong Enough","I got the ""Calm and Comfort"" scent to put in my bathroom. When I opened the package, the bottle was smaller than I thought, but accurate to the description.The lavender, patchouli, eucalyptus is so nice! I put the reeds in and placed it in my bathroom, but you couldn't really smell it in the air. After a day, I flipped the reeds over like I saw some people suggest, but you could still barely smell it. I have a very small bathroom too, so I just assumed you'd notice it when you walked in, but nada.Either way, it is very cute for decor, maybe I just got a bad batch that was not very potent.",3,B09VTNCFKL
21,Smells and looks great!,The smell is great and I love the simplicity of the bottle. Looks nice and modern too. A little pricey but hoping it lasts a decent amount.,5,B09VTNCFKL
22,Smells absolutely awful,"This smelled horrible and gave everyone a terrible headache. Not at all what I expected, which was a spa like scent with essential oils and calming aroma. If I smelled this in a spa I would run furiously to the door before I passed out from the toxic chemical odor of this reed diffuser. Honestly confused by all the good reviews as this is just a cheap and offensive smell.",1,B09VTNCFKL
23,Has a slight chemical smell.,Looking for a product that is clean and true.  This leaves a chemical scent.  Would not buy again.,3,B0C31B76SR
24,Smells super strong while it lasts,"This smells extremely strong when you first get it, I actually had to move it out of a bed room to a living room because it was too much in a smaller room. But it was perfect in my living room. It lasted probably a few weeks strong as can be but after that it fades out pretty quickly. Overall I would buy again. I really liked the scent.",4,B09VV758JL
25,great scent and lasts,"I have just repurchased this because I love the scent.  I have a bathroom near the door that guests usually enter so I like it to smell pleasant and wanted something that isn't artificial and toxic.  This works well,  the scent lasts awhile and permeates to the adjacent hall and rooms.",5,B0C31B76SR
26,Sweet Water Decor Diffuser,I wanted to move away from using the Bath & Body Works wall fragrances due to pricing and feeling that the scents are faint. I bought this and it fits perfectly in my bathroom. The scent is amazing and fresh. I turn the reeds around once a week and it still smells like it did the first day. I bought more for various spaces of my house.,5,B0C59KPSCR
27,Overpowers any bathroom odors!,"Not only does this naturally smell amazing, but it will overpower any nasty bathroom smells.I have a cat and I keep her litter box in the bathroom. Despite cleaning out her litter box every day, it will still smell like ammonia. I was looking for something to overpower the smell and bought the coconut and mango diffuser. It works so well!! My bathroom smells so fresh now",5,B0C4Q9DP9W
28,Light and Refreshing,Just bought 4 more.,5,B09VTNCFKL
29,Has no scent - SAVE Your Money,For the price you�??d think there be a nice smell but unfortunately there is no scent at all u less you at k your nose in the bottle.  Do Not Recommend there are far to many products for half the price with a scent.,1,B0C4Q9DP9W
30,Smell does not last long or go far.,"This is in a small office cubby, and I am sitting about 2.5 feet from it - and after the first week, I can no longer smell it.  The design of the label and the bootle are both simple and attractive.UPDATE:  The wonderful folks at Sweet Water g saw my review - and very kindly REFUNDED me for this purchase!Would totally 5 star the customer service!",3,B0CC3SZ5F4
31,"Smells Amazing, Doesn't Last Long",This is the first diffuser I've ever had and the smell is just incredible. It's not too feminine or masculine. The only complaint I have is that it's a little pricey and it doesn't last very long. I feel like the bottle was almost half gone in the first week.,4,B09VTNCFKL
32,Smell just isn�??t there.,"I bought this for a 19 foot camper. Even on this small area..you can�??t smell it. Very disappointed.UPDATE! I didn�??t even reach out to customer service..they reached out to me. Very impressed with their customer service! Maybe this particular scent just wasn�??t as strong as we needed for 2 people and three dogs, living in a 19 foot camper during a remodel lol.",4,B0CC3SZ5F4
33,Best One I've Ever Purchased,"After purchasing MANY different brands, ( some very expensive), & scents, this is the only one that actually leaves a scent you can smell without being right next to it.  I purchased one, just to try in my bathroom.  I didn't have high hopes, so many previous reed diffusers failed.  But this did a great job of leaving a noticeable fragrance in my bathroom, which is located close to the front door, off the hallway....& I could smell a light scent of it when I opened my front door.  I really like that.  With other reed diffusers, I would have 4 throughout my small single story home....but there was zero fragrance.  Finally one you can smell!Edit...7/20.  The scent was noticeable for around 2 weeks, after that it putzed out.  Even after turning reeds & adding my own extra. Disappointed.  Should be stronger scent options available for all reed diffusers.",4,B09VTNCFKL
34,Smell so good,It smells like a high end brand store.It was hard to imagine the combination of citrus and musk but it�??s a great blend of the both notes. It feels warm and refreshing. I will order another one!,5,B09VTNCFKL
35,Worth every penny,"I bought two!  They are so visually beautiful, tasteful and modern. The scent is amazing. Highly recommend.",5,B0C6FM8HJJ
36,Lovely smelling,"Smells phenomenal! A little strong at first so I took out half the reeds and threw them away. I should�??ve kept a few more! Will definitely buy this again, it really does smell great to me.",5,B09VTNCFKL
37,Lasts a long time!,"I�??ve had this sucker for over 6 months at this point and she still has a couple inches of diffuser left. I switch the reeds every month/every couple months and the scent is very strong for the first couple days and then relaxes into a pleasant background smell until I switch then reeds again. Very happy with this and love the smell, I got Spa Day. Worth the price for how long it�??s lasted IMO.",5,B09VV758JL
38,Strong artificial scent,"I was hoping to love this based on other reviews, but the smell is so overwhelmingly strong and artificial. I only put 3 of the 8 sticks in and had to take it out of the house after a few hours. It gave me such a headache. The look of the bottle is sleek and simple which I really like, but I cannot handle the smell. Will be on the hunt for a more natural smelling product.",2,B0C31B76SR
39,Amazing scent!,"This reed diffuser smells amazing! I would definitely only recommend it for smaller spaces though, like a bathroom.",4,B0C46VVFVZ
40,Strong,"The scent is good but SO strong and perfumey...I dont think Salt and Sea is a great name for this scent. I was expecting a lighter, fresher,  more subtle scent. It's not bad, just not what I expected. It reminds me of the perfume Heavenly from Victoria's Secret. I can only put 1 reed in it because it is so powerful.",3,B09VTNCFKL
41,Bare Minimum smell,I waited almost a week before writing the review in hopes of the smell to get visible. I�??m using in my bathroom which is small and keeping the door closed still there�??s hardly any smell.. also tried turning the sticks.. no use!Was really excited for this as it is free of all harmful chemicals etc but disappointed with the order..!!,3,B0C6FKKX82
42,The smell is unnoticeable,"I bought two different diffusers to compare and this brand's aroma was barely noticeable. I'm sensitive to smells and prefer selective perfumery, and don't usually buy mass market, hence I wanted to give it a try. Perhaps it's just this aroma, but I can hardly feel it, and it is pretty bleak and flat to my taste. Have nothing against the brand, just sharing my experience",3,B0C6FPXT88
43,I have never had a diffuser so I don't know how effective they are.,It is a lovely scent but does not fill my bedroom with scent. I have to be close by to smell it.,3,B0C6FKKX82
44,Big fragrance,"I bought this to sit by our master bath tub , I was expecting a bit more of a soft  smell however this is pretty fragrant, and it is a bit more sweet than I was hoping however it�??s still keeping the entire bathroom scented for over 2 months now and it had relaxed with the smell now so it�??s much nicer.",3,B09VTNCFKL
45,Give it time,"Updating my review: I couldn't smell it for quite some time, but I guess it just takes time for the reeds to soak up the oil? Not sure, but I can smell it now. Smells good",4,B09VTNCFKL
46,Smells amazing!,"Okay the smell was AWESOME. I could smell it just walking down the hallway near the bathroom. However, after a few weeks, it definitely dwindled. I don't really smell it anymore. Makes a cute decoration though.",4,B09VTNCFKL
47,beautiful,"This is wonderful .I am allergic to many scents but this one is fine, and such a pretty aroma.I will purchase more.",5,B0CC3Q16G6
48,Fragrance love,"Sweet Water Decor�??s Salt and Sea is my favorite fragrance of this brand. The clean, organic ocean smell is amazing!  We receive numerous compliments of our home smelling so good not overpowering and pleasuring to those with strong sense of smell allergies.  Long lasting and well worth the money. I purchase the �??salt and sea�?� fragrance only and I give for birthday and Christmas gifts.",5,B09VTNCFKL
49,Smells Wonderful,"I purchased one of these for my bedroom and my office at work. I love the way it smells when I walk into both rooms and I do believe it is helping me de-stress a little better. I also love the simple design of the bottle-clear with the white label. It can coordinate with any decor or design!! When they get close to drying out, I will purchase them again maybe for additional rooms.",5,B0C6FNDGWC
50,Amazing smell,"I just received this product today so I can�??t speak to the longevity of it, however this is my 3rd purchase of diffuser reeds - the first two being such inaccurate and terrible smells, until I landed on this one. I liked how it�??s a woman owned business and the description of the scents resonated with my taste. I�??m really glad I made the purchase. As soon as I opened it I thought �??this smells incredible and very much in my style.�?� Even if the reeds last a short time the smell is so good I will likely purchase again.",5,B0C31B76SR
51,Great Smell Works Well,Really enjoying this scent. Hangs in the air without being overwhelming. The bottle looks nice too. Definitely buying again!,5,B09VTNCFKL
52,Prefect!!,Smells so good!! Just like a gentle salt and sea seaside breeze. Fills the bathroom but not overpowering just enough so every time you walk in it's like you�??re walking into a spa!!! I love it!!!,5,B09VTNCFKL
53,Smells sooo good!,Really wonderful smell.  It lasts a couple months.,5,B0C31B76SR
54,Gorgeous diffuser and smells amazing,I love the simplicity of this diffuser and the scent is wonderful!,5,B09VTNCFKL
55,Smells Wonderful!,I absolutely love the smell of this. It appears to be unavailable to order again but I am crossing my fingers it becomes available again. I will purchase multiple next time.,5,B09VTNCFKL
56,"A perfect saturating, mellow scent for sensitive people",I�??m sensitive smells but I like a nice and familiar scent. These products nail it.,5,B09VTNCFKL
57,Smells HORRIBLE!,"Not only is there virtually no detectable scent in the room with this product, the smell that is there (and only when you get right up on it) smells like BUG SPRAY! I know scents are subjective, but this smell is awful!Maybe it's a good thing after all that the scent does NOT fill the room, it's absolutely terrible. Product now resides at the bottom of my trash can....such a waste of money.",1,B0C6FPXT88
58,Doesnt give off smell,The only way I can smell the Mango and Coconut is if I put my nose to the bottle. It does not give off any smell in my house. Disappointed.,1,B0C4Q9DP9W
59,No smell!,Had no scent so I just returned it. There is no way it will make a room smell nice if I cant Smell it right from the bottle.,1,B09VTNCFKL
60,Save your money,I don�??t know what the other reviews are about but this smells like nothing. Even when sitting right beside it I don�??t smell a thing. I would give zero stars if I could.,1,B09VTNCFKL
61,Don't waste your money!,Scent is terrible. Not organic or fresh. Smelled like something concocted in a labratory. Threw it out.,1,B09VTNCFKL
62,Nothing like lavender or sage,I'm not happy with the scent of Lavender and sage. It smells nothing like either lavender or sage. It smells like a man's cologne. I would not buy again.,2,B0C6FPXT88
63,Stinks,"I�??m not sure how, but it had oil outside the package even though it was sealed and packed well. It doesn't smell good. I�??ve tried it in a small bathroom and a larger room. It�??s a bummer because I dont usually pay this much  for a scent. :/",2,B09VV758JL
64,Fail,I got the sage and lavender which unfortunately smells like neither. To me it smells like the chemicals in an RV or airplane toilet. Packaging is nice and the scent is strong. Just very disappointing that it smells so bad.,2,B09VTNCFKL
65,It's ok,"So I've been playing around with reed diffusers. In general I've accepted that reed diffusers just aren't strong and perhaps aren't meant to fill a room.  At the same time scent is very subjective. It does give a faint scent - you just need to rotate the rods every few days.  I would say it's more of a musky/masculine scent (not floral).In the end, buy this more for decoration than scent. I don't think it's that amazing.It looks nice. It has a minimalist look.The packaging looks kinda cheap. I've bought other diffusers that had nicer packaging. It's fine since iam buying this just for me, but fyi if you're buying as a gift.",3,B09VTNCFKL
66,Not very aromatic,"I purchased two of these in different scents. The packaging and creative esthetics are nice. However, you have to be right up on it to really smell it. I have it in a medium sized room and can barely tell it is there. Far too expensive for the aromatic qualities.",3,B0C6FKN7NZ
67,Strong but perfumey,"This does have a strong scent but for me it�??s just too perfumey and almost gives me a headache. Overall I wouldn�??t recommend this scent but I do recommend this brand because it delivers a strong, lasting scent.",3,B09VTNCFKL
68,More sweet than spicy,It�??s a beautiful product and looks lovely! It�??s definitely more of a sweet pumpkin spice smell.,4,B0CC422SCQ
69,Good,Smells great but the scent doesn't last that long.,4,B09VTNCFKL
70,Pleasant fragrance.,The cinnamon is not noticeable.,4,B0C6FK2LCC
71,Lovely fragrance,"The fragrance is very nice, not overpowering however it only lasts a few weeks not months.",4,B09VTNCFKL
72,Arrived with no reed diffusers,"I love this product, but the set arrived without diffuser reeds",4,B0C59KPSCR
73,Doesn't smell cheap!,"For the price, I was pleasantly surprised how good it smelled. No cheap smell! I just bought another one. Fresh, clean scent! The only reason I gave it four stars was because it was very hard getting the cork out. You need a knife to do it.",4,B09VTNCFKL
74,"Very strong scent, but great smell.","It smells really good but it is very, very strong. I bought this for my office at work, but the scent is so strong that it was overwhelming in a smaller space. It�??s now in my house by the front door and I can�??t smell it throughout the entire downstairs.",4,B09VTNCFKL
75,Smells great.,Light and clean.,4,B09VTNCFKL
76,Pumpkins spice reef,This is a great product. The smell is unbelievable! I gave to my aunt for her birthday and she loved it. I put the coconut one in my kitchen are and it is fabulous. I bought several others as well. They make great gifts and I just love all of the ones I have bought. High quality and last a long time.i turn the reefs upside down about every 2 weeks to refresh the room. Can�??t get over how long th product lasts!!! Great value.,5,B0CC422SCQ
77,Smells Fantastic,"Island Air for our main bathroom. Fills the room nicely. Smells fresh, tropical and is not overpowering. Lightly scents the bedroom also. We will be ordering this one again!Also purchased Salt and Sea which is quite nice. In our guest bathroom. Reminds us of an expensive mens cologne. Reeds that come with the orders are very good.",5,B0C59KPSCR
78,Not too strong,"Just enough fragrance, not overpowering very subtle",5,B0B6D8JGVC
79,Great scent,"Salt and sea is a great scent . Not too strong , but great enough to keep the loft area and stair well smelling beachy.",5,B09VTNCFKL
80,"nice aroma, easy to use","nice aroma, easy to use - I keep it near my front door so you smell it when you first walk in",5,B09VTNCFKL
81,Surprise!,This is a gift for a housewarming. My sister is going to love this and I can't wait for her to get it!,5,B09VTNCFKL
82,Smells incredible,"I was hesitant to buy this not knowing what it smelled like, but I read some reviews and thought I would go ahead and purchase this. I'm glad I did! I have it in the guest bathroom and is not overpowering. I can faintly smell it out in the hall. Once this one is gone, I will be purchasing more.",5,B09VTNCFKL
83,Great addition to the bathroom,"This adds a nice, fresh - but not overpowering - scent to our bathroom. We've been very happy and will happily purchase again when it's time to replace.",5,B0C31B76SR
84,This smell is so amazing!!,"I always get so many compliments on this smell! I currently have the diffuser in my office and every time someone walks in, they have to know what the scent is.",5,B0C6FKN7NZ
85,Embracing the Season: Hello Fall's Enchanting Fragrance in Our Rental Space,"We recently introduced the Sweet Water Decor in the enticing ""Hello Fall"" scent to our rental property, and it has remarkably transformed the ambiance, leaving a lasting impression on our guests.The aroma of ""Hello Fall"" from this diffuser is simply captivating. It fills the air with the comforting scents associated with the season�??warm spices, crisp leaves, and a hint of autumnal coziness. This fragrance creates an inviting atmosphere, evoking a sense of relaxation and nostalgia for the season.",5,B0B6D8JGVC
86,What a ripoff $20 down the drain,"Worthless item, not even the dollar store quality item",1,B09VTNCFKL
87,Smells Amazing! Coconut and Mango yummy ????,-,4,B09VTNCFKL
88,Clean and fresh winter smell!,"I love this Warm and Cozy smell of Orange, Cinnamon, Clove and Pine. It is not overbearing but smells sooo good!!! I purchased the 3.5oz and also purchased another scent I can�??t wait to try!!!! Love it!",5,B0C6FK2LCC
89,Excellent Non-toxic diffuser,"I�??ve been using this diffuser in both my lounge and bathroom, and it�??s fantastic! The fragrance is subtle yet pleasant, and I love that it�??s made with essential oils and is phthalate-free. This explains why the scent is delicate and not overwhelming. The product�??s minimal design is another plus. Overall, I absolutely love it!",5,B09VTNCFKL
90,Love this!,This item added such a wonderful smell to our bathroom. It�??s natural smelling. Not too strong. It�??s cute and worked well the other decorations I had on the shelves.,5,B0C4Q9DP9W
91,Great so far,"Original (August 2021)Have had this in my room for a day and a night, already smells great. I�??ll update my review when it stops working to tell people how long it lasted.Update (February 2022)Still works great. The oil level in the bottle went down a tiny bit but other than that seems to work just as well as when I first got it.",5,B09VTNCFKL
92,Beautiful and chic diffusers!,Beautiful packaging and reed diffusers! I bought farmhouse and warm and cozy. Both scents are accurately described and light enough that it�??s not overwhelming to have in a smaller space. I�??m so happy with these products and love this shop.,5,B09VTNCFKL
93,"The smell is incredibly sweet, and you can't detect any citrus or sage, only sweet Spearmint.","Unfortunately, the scent doesn't match the description. The scents are listed as Eucalyptus, Spearmint, Citrus, and Sage, however, you can only smell the top note of sickly, sweet Spearmint.",1,B0C6FNDGWC
94,Waste of money,You can't smell this at all. It's being used in a small room and we are constantly flipping the reeds. It makes no difference. It was packaged well and arrived in tact.,1,B0C31B68DC
95,Water?,This didnt smell at all. Thank you Amazon for refunding the money.,1,B0C6FLPN4H
96,Brand New and No Scent,This is new and does not have any scent. I will not purchase from this company again.,1,B0C6FNDGWC
97,Not for me,Fragrance smelled cheap. Bottle too easy to knock over. Went in trash immediately. Would not recommend.,1,B0CC3SZ5F4
98,Disappointed,"Typically, I love the light scent of a diffuser in house. I bought the ""spa day"" scent and was disappointed. It smells really cheap to me, like the spray we used to use in high school to cover up cigarette smoke. Nothing like what I would think of as a spa. Throwing this one away",1,B09VV758JL
99,Scent doesn�??t carry,"Upon opening the scent smells wonderful but you can only smell it when your right up on it. Placed in a small room, can�??t smell it all.",1,B09VTNCFKL
100,Weak scent,Poor quality. Scent is very weak. It was a waste of money,1,B09VTNCFKL
101,Not a lasting scent,The scent did not last more than a couple of days. :(,1,B09VTNCFKL
102,Missing the reeds,"The reeds were missing. Product smells nice, but cannot use.",1,B09VTNCFKL
103,Smells great but doesn't fill a small room,"I have a tiny first floor half bath.  I purchased relaxation, and it smells wonderful.  But after 3 days and flipping reeds, you can only smell it if you put your nose to the glass.  Waste of money!!!!",2,B0C6FM8HJJ
104,Would not purchase again�??,This smelled great out of the box but put it in our guest bathroom and it didn�??t smell at all.  Not worth the money as we�??ve had much better at this price.,2,B09VTNCFKL
105,Does not smell like lavender or sage,This smells pretty bad and also does not disperse scent throughout the room. Would not buy this brand again.,2,B0C6FPXT88
106,Doesn�??t last,For the price they are charging I truly expected it to last long. I was pleasantly surprised that it smelled great but very disappointed by the quality and that it faded within just a few days. I figured that maybe our living room was too large of a space so we put it in our small bathroom and nothing. I would not recommend it especially at this price point. I had planned on trying it to get more to put throughout the house but that's not going to happen. I will not be purchasing this product again.,2,B0C4Q9DP9W
107,Not what I expected,"I hate to leave a negative review, but this scent is barely tolerable. It's sickeningly sweet, and I detect no cinnamon, ginger or clove. I catch a hint of orange which is overpowered by something else--whatever the super-sweet main scent is, but that's about it. I almost bought two of these and I'm SO glad I didn't. If you're looking for a nice, spicy autumn-type scent, this isn't it.",2,B09VTNCFKL
108,No Reeds,"The scent of this product was Amazing, but I am giving three (3) stars because there were no reeds in the box as advertised.",3,B09VTNCFKL
109,Nice Scent,The scent is really good but actually it is not strong enough to smell it even close to it.,3,B0CC422SCQ
110,Too strong,It�??s more like a strong perfume rather than a natural fragrance.,3,B09VTNCFKL
111,Average,They are okay for a small bathroom area- but the quality of the oils did not last long.,3,B09VTNCFKL
112,"Nice look, overwhelming perfume","Although the aesthetics are nice & what I was looking for.. unfortunately the scent was very potent & more perfume like, it started to trigger headaches... hence why I gave it 3 stars. I did end up returning this product.",3,B0CC3XGKMC
113,Looks cute,"I bought it because the look is so cute but the smell I got was aight. ""Lavender sage"" I was hoping it would smell more good but not reay",3,B09VTNCFKL
114,Nice scent but very weak,Scent was very nice but extremely faint ..  not worth the money,3,B0B6D8JGVC
115,Quality,Great smell. Long lasting.,4,B09VTNCFKL
116,Smells good,Not highly scented.  The best one I ever had was called Asian Spice.  I think I got it at Pier 1 Imports.  But I can�??t find it anymore.,4,B0CC3SZ5F4
117,Nada,Est?� bien pero no ere lo que esperaba.,4,B0C6FPXT88
118,Great product for the money,"Scent: Sandlewood RoseGreat product for the money. Smells lovely. I used 5 of the reeds and the scent is quite noticeable. I liked the scent so much I bought a second one for a friend. Will purchase again.The product arrived sightly open, some oil spilled out during shipping. Otherwise, was in  good condition.",4,B0C6FKKX82
119,Smells amazing!!,"I am so glad I purchased this for my new apartment. We cannot have candles, so this was an amazing option to have. It smells exactly like going apple picking on a fall day! Very beautiful fall scent that isn�??t a crazy strong pumpkin or cinnamon scent. It�??s smells so fresh and is not too overwhelming where it gives a headache.My only wish is that is WAS the tiniest bit stronger smelling just because I love getting hit in the face with the scent. (That�??s just a personal preference though!)I highly recommend this product and scent!! :)",4,B09VTNCFKL
120,Clean subtle fragrance,"Have been enjoying this diffuser in our master bath and have ordered a second for the master bedroom. Love the scent, subtle and beachy without being artificial or too strong. A great product!",5,B0C31B76SR
121,Smells great,A bit pricy but definitely has a nice calming smell,5,B09VTNCFKL
122,One Stick is enough for a Bathroom!,"We bought two different kinds/scents from different companies, and this is by far the better fragrance. It is mellow but covers the area well (not just up close). I have always liked Putolli oil, and while this contains some, it is not overbearing. I will say this sits more on the Dude side of fragrances and is not ""floral"" (ick)I will be buying this again.",5,B0CL5C7Q9M
123,This scent/item makes me so happy every day,"This diffuser has lit up my bathroom and into my bedroom. The scent is wonderful and makes me so happy when I walk into the room. It smells fresh and not overpowering, but strong enough that other people comment on it. Salt + Sea no 35. I love this!!",5,B09VTNCFKL
124,Smells so good,"This diffuser you can actually smell and fills the house!  Is a wonderful Fall scent, too.  Will definitely be buying again!",5,B0B6D8JGVC
125,Best sent ever!,The salt and sea is the best smelling! I walked by and smelt it over and over. I feel like the sent runs out quickly despite flipping reeds. But I don�??t mind. It smells to good!,5,B09VTNCFKL
126,Amazing ????,Salt & Sea is a best!!!,5,B09VTNCFKL
127,Smells Great - Scent not too Strong,It's hard to find a good diffuser that actually smells like something.  This one is exactly what I was looking for.,5,B0C46VVFVZ
128,Lasts a long time,Nice smell,5,B0C6FNDGWC
129,Simple & as described,"The scent is clean, not overpowering. I would purchase from this company again.",5,B09VTNCFKL
130,Lasting Scent,"This is the second reed diffuser that I have ordered from them. In the past, I have used incense, plug-ins, and oil diffusers and wanted to try reed diffusers because they don't involve electricity, smoke, or heat. I am very pleased. The scent is very natural (doesn't smell like chemicals). They are very long lasting. I find them perfect for one room.",5,B09VTNCFKL
131,"Lovely scent, fresh and not overwhelming","Great smell, not floral and not too heavy. You can adjust the strength of it by putting in fewer or more reeds in the oil bottle.",5,B09VTNCFKL
